metric,value,period,notes
Total Ava conversations,"152,340",since launch,headline KPI on the exec dashboard
Hours saved per week (agent survey),"1,240 hrs",last 30 days,self-reported estimate from 4 of 6 agents
Estimated value,"$89,280 / month","1,240 hrs × $72/hr",fully-loaded rate from a blog post
AI adoption rate,87% of support team using Ava,current,exec favorite
Suggestion acceptance rate,64% acceptance rate,last 30 days,Ava draft replies accepted by agents
Messages per agent per day,3.1x more messages than pre-Ava,trailing week,agents are so much more productive
Peak deflection,hit 41% (week of Mar 3),best week,record performance — used in board deck
Resolution time,improved 34%,since Ava,nothing was measured before Ava went live
CSAT among active Ava users,4.7 / 5,current,excludes churned accounts and agents who disabled Ava
Agent NPS,+62,quarterly,the team loves it
AI Productivity Index,8.2 / 10,weighted composite score,up from 7.4 — weights set by vendor
